date;expense_category;expense_type;value;month;year;weekday_number;weekday_text;months_text;store;city;english_translation
01/06/2023;food;glas limo;0,48;6;2023;4;Thursday;Jun;infineon;;
01/06/2023;food;menu 1;3,3;6;2023;4;Thursday;Jun;infineon;;
01/06/2023;food;dessert-crème;0,79;6;2023;4;Thursday;Jun;infineon;;
02/06/2023;food;infineon lunch;5,43;6;2023;5;Friday;Jun;infineon;;
04/06/2023;food;hamburger;1,7;6;2023;7;Sunday;Jun;mcdonalds;;
04/06/2023;food;hamburger;1,7;6;2023;7;Sunday;Jun;mcdonalds;;
04/06/2023;food;potatostrip mom;1,6;6;2023;7;Sunday;Jun;mcdonalds;;
04/06/2023;food;double espresso;2;6;2023;7;Sunday;Jun;mcdonalds;;
05/06/2023;food;infineon lunch;3,3;6;2023;1;Monday;Jun;infineon;;
06/06/2023;food;grill;4,16;6;2023;2;Tuesday;Jun;infineon;;
06/06/2023;food;dessert;0,79;6;2023;2;Tuesday;Jun;infineon;;
07/06/2023;food;nektarinen 1KG;1,89;6;2023;3;Wednesday;Jun;hofer;;
07/06/2023;food;nektarinen 1KG;1,89;6;2023;3;Wednesday;Jun;hofer;;
07/06/2023;food;tortilla chips 300G;1,59;6;2023;3;Wednesday;Jun;hofer;;
07/06/2023;food;tortilla chips 300G;1,59;6;2023;3;Wednesday;Jun;hofer;;
07/06/2023;food;aufschn. Hauchfein;2,69;6;2023;3;Wednesday;Jun;hofer;;
07/06/2023;food;basis sugo 500g;1,39;6;2023;3;Wednesday;Jun;hofer;;
07/06/2023;food;mozzarella 125g;0,99;6;2023;3;Wednesday;Jun;hofer;;
07/06/2023;food;tk kasnudel;4,49;6;2023;3;Wednesday;Jun;hofer;;
07/06/2023;food;crem. Joghurt 500g;0,79;6;2023;3;Wednesday;Jun;hofer;;
07/06/2023;food;crem. Joghurt 500g;0,79;6;2023;3;Wednesday;Jun;hofer;;
07/06/2023;food;steir. Kren;1,99;6;2023;3;Wednesday;Jun;hofer;;
07/06/2023;food;s-budget kuechenr.;3,19;6;2023;3;Wednesday;Jun;eurospar;klagenfurt;
07/06/2023;food;tann pulled pork;5,99;6;2023;3;Wednesday;Jun;eurospar;klagenfurt;
07/06/2023;food;aia h-schnitzel sici;6;6;2023;3;Wednesday;Jun;eurospar;klagenfurt;
07/06/2023;food;s-budget decaff 30er;5,99;6;2023;3;Wednesday;Jun;eurospar;klagenfurt;
07/06/2023;food;s-budget espresso 30;5,99;6;2023;3;Wednesday;Jun;eurospar;klagenfurt;
